col1 col2
1105.62 1.23483e-13
1106.75 1.26851e-13
1107.88 1.30296e-13
1109.01 1.31698e-13
1110.14 1.31566e-13
1111.27 1.31753e-13
1112.4 1.32725e-13
1113.53 1.32916e-13
1114.66 1.31565e-13
1115.79 1.30399e-13
1116.92 1.32284e-13
1118.05 1.38329e-13
1119.18 1.39064e-13
1120.31 1.34904e-13
1121.44 1.2899e-13
1122.57 1.23607e-13
1123.7 1.22683e-13
1124.83 1.24933e-13
1125.96 1.31391e-13
1127.09 1.34814e-13
1128.22 1.33538e-13
1129.35 1.34093e-13
1130.48 1.37403e-13
1131.61 1.36765e-13
1132.74 1.29027e-13
1133.87 1.22295e-13
1135.0 1.19361e-13
1136.13 1.17123e-13
1137.26 1.17452e-13
1138.39 1.23111e-13
1139.52 1.2472e-13
1140.65 1.20839e-13
1141.78 1.17795e-13
1142.91 1.20093e-13
1144.04 1.26972e-13
1145.17 1.31066e-13
1146.3 1.32074e-13
1147.43 1.30072e-13
1148.56 1.28548e-13
1149.69 1.25978e-13
1150.82 1.25651e-13
1151.95 1.28046e-13
1153.08 1.28494e-13
1154.21 1.26908e-13
1155.34 1.24488e-13
1156.47 1.26005e-13
1157.6 1.29635e-13
1158.73 1.31705e-13
1159.86 1.29049e-13
1160.99 1.25813e-13
1162.12 1.23523e-13
1163.25 1.24265e-13
1164.38 1.24639e-13
1165.51 1.25468e-13
1166.64 1.29717e-13
1167.77 1.35923e-13
1168.9 1.3874e-13
1170.03 1.38211e-13
1171.16 1.3786e-13
1172.29 1.38498e-13
1173.42 1.42557e-13
1174.55 1.43125e-13
1175.68 1.40651e-13
1176.81 1.37158e-13
1177.94 1.38273e-13
1179.07 1.42862e-13
1180.2 1.4766e-13
1181.33 1.48033e-13
1182.46 1.47494e-13
1183.59 1.47598e-13
1184.72 1.49576e-13
1185.85 1.49647e-13
1186.98 1.49789e-13
1188.11 1.55984e-13
1189.24 1.67998e-13
1190.37 1.74748e-13
1191.5 1.76182e-13
1192.63 1.77672e-13
1193.76 1.82163e-13
1194.89 1.92206e-13
1196.02 1.99665e-13
1197.15 2.04224e-13
1198.28 2.08841e-13
1199.41 2.16035e-13
1200.54 2.23266e-13
1201.67 2.28748e-13
1202.8 2.35305e-13
1203.93 2.46339e-13
1205.06 2.59544e-13
1206.19 2.80061e-13
1207.32 3.10813e-13
1208.45 3.47007e-13
1209.58 3.79822e-13
1210.71 4.12693e-13
1211.84 4.56499e-13
1212.97 5.13554e-13
1214.1 5.73636e-13
1215.23 6.2562e-13
1216.36 6.66091e-13
1217.49 6.74067e-13
1218.62 6.47086e-13
1219.75 5.94713e-13
1220.88 5.38011e-13
1222.01 4.89065e-13
1223.14 4.48713e-13
1224.27 4.1721e-13
1225.4 3.88298e-13
1226.53 3.63405e-13
1227.66 3.42424e-13
1228.79 3.26905e-13
1229.92 3.12709e-13
1231.05 3.00755e-13
1232.18 2.92025e-13
1233.31 2.85303e-13
1234.44 2.81734e-13
1235.57 2.80924e-13
1236.7 2.80107e-13
1237.83 2.78037e-13
1238.95 2.7628e-13
1240.08 2.74332e-13
1241.21 2.71192e-13
1242.34 2.68239e-13
1243.47 2.63414e-13
1244.6 2.56399e-13
1245.73 2.4607e-13
1246.86 2.35235e-13
1247.99 2.26865e-13
1249.12 2.19748e-13
1250.25 2.14166e-13
1251.38 2.09703e-13
1252.51 2.052e-13
1253.64 2.0014e-13
1254.77 1.95666e-13
1255.9 1.91826e-13
1257.03 1.88104e-13
1258.16 1.84462e-13
1259.29 1.81864e-13
1260.42 1.79981e-13
1261.55 1.78215e-13
1262.68 1.76168e-13
1263.81 1.74545e-13
1264.94 1.73426e-13
1266.07 1.72246e-13
1267.2 1.70444e-13
1268.33 1.66916e-13
1269.46 1.61526e-13
1270.59 1.57603e-13
1271.72 1.55047e-13
1272.85 1.53486e-13
1273.98 1.51224e-13
1275.11 1.49419e-13
1276.24 1.47768e-13
1277.37 1.46388e-13
1278.5 1.44337e-13
1279.63 1.4179e-13
1280.76 1.39826e-13
1281.89 1.38412e-13
1283.02 1.37136e-13
1284.15 1.36413e-13
1285.28 1.36167e-13
1286.41 1.35607e-13
1287.54 1.34427e-13
1288.67 1.34672e-13
1289.8 1.35457e-13
1290.93 1.35714e-13
1292.06 1.36034e-13
1293.19 1.37218e-13
1294.32 1.37909e-13
1295.45 1.37876e-13
1296.58 1.37693e-13
1297.71 1.37727e-13
1298.84 1.388e-13
1299.97 1.39618e-13
1301.1 1.40757e-13
1302.23 1.41963e-13
1303.36 1.43207e-13
1304.49 1.4434e-13
1305.62 1.45449e-13
1306.75 1.46343e-13
1307.88 1.45305e-13
1309.01 1.43165e-13
1310.14 1.4167e-13
1311.27 1.40793e-13
1312.4 1.39633e-13
1313.53 1.38078e-13
1314.66 1.36513e-13
1315.79 1.34871e-13
1316.92 1.33548e-13
1318.05 1.31624e-13
1319.18 1.29095e-13
1320.31 1.27099e-13
1321.44 1.26093e-13
1322.57 1.24971e-13
1323.7 1.24301e-13
1324.83 1.24412e-13
1325.96 1.2473e-13
1327.09 1.24613e-13
1328.22 1.24461e-13
1329.35 1.24146e-13
1330.48 1.24869e-13
1331.61 1.25493e-13
1332.74 1.26218e-13
1333.87 1.27136e-13
1335.0 1.28296e-13
1336.13 1.29221e-13
1337.26 1.29609e-13
1338.39 1.29267e-13
1339.52 1.28711e-13
1340.65 1.28046e-13
1341.78 1.27233e-13
1342.91 1.25729e-13
1344.04 1.24466e-13
1345.17 1.23876e-13
1346.3 1.23399e-13
1347.43 1.22614e-13
1348.56 1.21919e-13
1349.69 1.21245e-13
1350.82 1.20429e-13
1351.95 1.19998e-13
1353.08 1.20023e-13
1354.21 1.20391e-13
1355.34 1.20871e-13
1356.47 1.21392e-13
1357.6 1.21473e-13
1358.73 1.20624e-13
1359.86 1.20827e-13
1360.99 1.20887e-13
1362.12 1.2026e-13
1363.25 1.19591e-13
1364.38 1.19437e-13
1365.51 1.20826e-13
1366.64 1.21753e-13
1367.77 1.21886e-13
1368.9 1.21712e-13
1370.03 1.21417e-13
1371.16 1.21374e-13
1372.29 1.21463e-13
1373.42 1.21956e-13
1374.55 1.21809e-13
1375.68 1.21957e-13
1376.8 1.2197e-13
1377.93 1.22251e-13
1379.06 1.22523e-13
1380.19 1.22855e-13
1381.32 1.23171e-13
1382.45 1.24086e-13
1383.58 1.25289e-13
1384.71 1.2706e-13
1385.84 1.28553e-13
1386.97 1.29589e-13
1388.1 1.30991e-13
1389.23 1.3332e-13
1390.36 1.36084e-13
1391.49 1.38434e-13
1392.62 1.39532e-13
1393.75 1.40153e-13
1394.88 1.40995e-13
1396.01 1.41574e-13
1397.14 1.41909e-13
1398.27 1.41951e-13
1399.4 1.42326e-13
1400.53 1.42748e-13
1401.66 1.42736e-13
1402.79 1.42069e-13
1403.92 1.4148e-13
1405.05 1.39946e-13
1406.18 1.38103e-13
1407.31 1.36034e-13
1408.44 1.34041e-13
1409.57 1.32152e-13
1410.7 1.30636e-13
1411.83 1.2902e-13
1412.96 1.27084e-13
1414.09 1.25715e-13
1415.22 1.24436e-13
1416.35 1.22976e-13
1417.48 1.21933e-13
1418.61 1.21117e-13
1419.74 1.20292e-13
1420.87 1.19248e-13
1422.0 1.18732e-13
1423.13 1.17869e-13
1424.26 1.16899e-13
1425.39 1.16395e-13
1426.52 1.16416e-13
1427.65 1.16385e-13
1428.78 1.16002e-13
1429.91 1.15086e-13
1431.04 1.13979e-13
1432.17 1.13562e-13
1433.3 1.13666e-13
1434.43 1.13594e-13
1435.56 1.13365e-13
1436.69 1.12667e-13
1437.82 1.12319e-13
1438.95 1.1214e-13
